已有数据: 14 条

============================================================
Round 1/6 | 并行生成 11 组查询...
  Prompt 5: 25 条
  Prompt 1: 25 条
  Prompt 8: 25 条
  Prompt 6: 25 条
  Prompt 7: 25 条
  Prompt 4: 25 条
  Prompt 2: 25 条
  Prompt 3: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 1386 条
  ✓ [15] rag_query            | 想申请开通凌霄管理后台的查看权限，需要直属领导审批还是直接找IT？
  ✓ [839] rag_query            | 请问工牌是报到当天直接发，还是得等行政那边统一制卡呀？
  ✓ [840] multi_intent_split   | 我准备休年假带家人去三亚旅游但手头还有两个未关闭的流程系统允许在审批中...
  ✓ [841] escalate             | 我在钉钉文档里设置的仅自己可见敏感表，分享时误选了组织内可见，系统日志...
  ✓ [842] escalate             | 二月报销的服务器租赁费用被财务以发票抬头信息不符退回，但我已上传阿里云...
  ✓ [843] rag_query            | 使用通义考勤打卡时，早上弹性上班的最晚到岗时间是几点？
  ✓ [844] rag_query            | 钉钉邮箱收到大量外部退信提示域名解析失败，我的客户端配置哪里出错了？
  ✓ [845] rag_query            | 借调社保怎么交？
  ✓ [846] escalate             | 为什么我的公积金缴纳基数在四月突然按新入职员工标准执行，我已在公司连续...
  ✓ [847] direct_answer        | 请帮我查一下我今年还剩几天年假。
  ✓ [848] escalate             | 钉钉企业邮箱在五月八日遭遇大规模钓鱼攻击过滤误杀，导致我所有重要客户往...
  ✓ [849] rag_query            | 我于三月二十日至三月二十五日出差广州，期间使用钉钉外勤拍照功能在客户现...
  ✓ [850] rag_query            | 出差坐高铁一等座的费用，现在还能不能正常走财务报销？
  ✓ [851] direct_answer        | 我账号里显示的上一年度年假剩余天数具体是几天？
  ✓ [852] direct_answer        | 我在夸克企业盘里上传的30GB设计源文件，同步到本地客户端时进度卡在9...
  ✓ [853] escalate             | 财务与人力双系统数据不一致导致我三月薪资发放异常，实发金额比应发少了四...
  ✓ [854] rag_query            | 招待客户的餐饮发票单笔超五百块，审批流里需要增加什么特殊环节吗？
  ✓ [855] rag_query            | 手里攒的那些天数跟今年刚发的凑一块儿用，公司系统默认先划扣哪个？
  ✓ [856] escalate             | 通义千问企业知识库同步服务自四月十五日起频繁出现索引丢失，已影响全公司...
  ✓ [857] escalate             | 前端研发组申请云效平台前端组件库的master分支合并权限用于版本发布...
  ✓ [858] rag_query            | 我刚刚转岗到供应链部门，急需开通星辰采购系统的日常操作权限，流程该怎么...
  ✓ [859] rag_query            | 海外差旅申请需要提前多少天提交给财务审核？
  ✓ [860] escalate             | 产品团队申请开通星图数据中台用户增长模块的报表只读权限，用于日常迭代复...
  ✓ [861] escalate             | 内部测试环境通义大模型API接口在五月十日下午完全中断，研发测试全面停...
  ✓ [862] escalate             | 我是信息安全部李娜，因审计需要必须临时访问夸克云盘历史归档数据，但权限...
  ✓ [863] rag_query            | 请问实行弹性工作制的团队，每日核心在岗时间段是否仍需在考勤系统中标注“...
  ✓ [864] multi_intent_split   | 为什么每次出差前都要手动同步钉钉通讯录数据，去武汉办公室出差申请的70...
  ✓ [865] rag_query            | 下个月15号是我司与瓴羊的数据接口协议续签日，但对方要求提供过去半年的...
  ✓ [866] rag_query            | 新配发的办公电脑连上WiFi后无法访问内网的星辉财务系统，需要开通哪些...
  ✓ [867] escalate             | 本月发薪日遭遇极端情况，我的个税抵扣专项附加扣除未在钉钉税务模块正确同...
  ✓ [868] rag_query            | 代码助手咋重置？
  ✓ [869] escalate             | 通义千问内部测试版最近打开特别慢且经常未响应，急需用来生成测试用例怎么...
  ✓ [870] rag_query            | 依照《数据安全管理办法》2023版，对外发送含有客户信息的表格前是否需...
  ✓ [871] rag_query            | 跨城市调动的搬家费用，按现行规定是实报实销还是有固定补贴上限？
  ✓ [872] rag_query            | 试用期绩效规则在哪？
  ✓ [873] rag_query            | 试用期期间能不能申请内部转岗，制度文件里对这种跨部门流动是怎么界定的？
  ✓ [874] direct_answer        | 电脑连不上内网了怎么办？
  ✓ [875] rag_query            | 电子发票开错抬头了能重开不
  ✓ [876] multi_intent_split   | 我昨天在夸克企业版里下载的合规文件打不开是不是格式不兼容，顺便帮我查一...
  ✓ [877] rag_query            | 我查阅了去年的差旅制度，想确认一下现在跨市出差的市内交通补贴是不是已经...
  ✓ [878] rag_query            | 财务部早上的标准打卡截止时间是几点？
  ✓ [879] rag_query            | 想咨询下集团关于远程办公的设备折旧补贴细则是否有书面说明，另外非常感谢...
  ✓ [880] rag_query            | 国际差旅的汇率折算标准是什么？
  ✓ [881] rag_query            | 5月8号下午早退一小时，钉钉打卡备注栏该怎么填？
  ✓ [882] rag_query            | 宜搭表单报错咋办？
  ✓ [883] rag_query            | 钉钉邮箱里的自动回复功能开启后没有生效，请问应该怎么正确设置规则？
  ✓ [884] multi_intent_split   | 我是今天刚报到的，那个通义灵码的开发账号还没收到，还有工牌照片在哪上传...
  ✓ [885] multi_intent_split   | 王经理说让我这周五前把差旅报销单补齐，但我丢了去成都的高铁票能用打车截...
  ✓ [886] rag_query            | 试用期考核如果差点意思，公司有没有延长考察期或者协商处理的具体条款？
  ✓ [887] rag_query            | 员工年度体检的费用报销，是凭发票走日常流程还是走专项福利通道？
  ✓ [888] direct_answer        | 内部知识库搜不到旧制度顺便问下最新版员工手册下哪
  ✓ [889] multi_intent_split   | 申请将灵犀云平台的API调用权限开放给第三方审计机构，同时提前感谢帮忙...
  ✓ [890] rag_query            | 下周三我要带实习生进核心机房做压测，需要申请临时门禁权限和堡垒机账号，...
  ✓ [891] escalate             | 员工账号在星辰HRM系统被异常锁定无法提交考勤申诉，麻烦IT同事尽快重...
  ✓ [892] multi_intent_split   | 数据中台的BI看板访问权限是不是又被安全策略锁死了，我上个月帮客户测试...
  ✓ [893] escalate             | 内网的墨子协同平台现在限制了访问IP段吗？我这边一直打不开首页。
  ✓ [894] escalate             | 这笔去大连的差旅报销已经卡在合规复核环节两周了，下周五前必须结清项目尾...
  ✓ [895] multi_intent_split   | 我准备报考阿里云的云计算专业认证，公司有相关考试费用的补贴政策吗，顺便...
  ✓ [896] rag_query            | 请核实下产假复工后的年假折算公式是否已同步到OA系统，非常感谢IT支持...
  ✓ [897] direct_answer        | 下午的标准下班打卡时间具体是几点整？
  ✓ [898] rag_query            | 根据公司最新的《员工行为规范》第三章，跨部门协作时是否必须使用钉钉项目...
  ✓ [899] escalate             | 本人市场部张明远，就二月八日差旅报销单号BX20240208015被财...
  ✓ [900] rag_query            | 钉钉群文件过期下不了能恢复不
  ✓ [901] rag_query            | 通义千问的API调用限额用完了怎么扩容？
  ✓ [902] direct_answer        | 4月22号管培生培训日程钉钉日程里排好了吗？
  ✓ [903] rag_query            | 下周三餐补怎么发？
  ✓ [904] rag_query            | 领办公用品流程走哪儿填表太慢了
  ✓ [905] multi_intent_split   | 年假还没休完能折现吗？另外上个月加班打卡记录不全咋整？
  ✓ [906] rag_query            | 申请接入通义大模型内部测试接口的权限，需要直属领导和架构师双签吗？
  ✓ [907] rag_query            | 预支调休怎么申？
  ✓ [908] rag_query            | 跨时区远程办公的员工，请假时长是按北京时间还是所在地时间核算？
  ✓ [909] escalate             | 因合规审计需要，申请临时开通灵犀风控数据台的用户行为明细数据查看权限，...
  ✓ [910] rag_query            | 公司内网下载的差旅安全手册版本是不是早就过期了，去成都出差期间连不上内...
  ✓ [911] multi_intent_split   | 申请查看核心代码库的只读权限，现在的流转规则对跨级访问有没有特别限制？
  ✓ [912] escalate             | 麻烦帮我开通星图BI看板里Q3季度各区域销售数据的数据查看权限。
  ✓ [913] direct_answer        | 咱们去西溪园区B座的话，前台具体在几楼？
  ✓ [914] multi_intent_split   | 我准备把家里旧电脑换成公司新配的Mac，请问旧设备折旧流程怎么走，另外...
  ✓ [915] escalate             | 因参与通义实验室联合机密项目，我需要临时开通夸克网盘企业版及内部代码库...
  ✓ [916] rag_query            | 这次去兰州参加封闭开发，连续出差超过15天的话，从第16天开始的差旅补...
  ✓ [917] multi_intent_split   | 李总监让我下周去上海分公司对接项目，请问跨城差旅的交通补贴是按高铁二等...
  ✓ [918] escalate             | 电脑蓝屏死机了明天交方案求速派修
  ✓ [919] rag_query            | 我下周二就要来报到了，不太确定入职到底需要准备几份身份证复印件呀？
  ✓ [920] multi_intent_split   | 夸克企业盘同步卡死了咋办顺便问下历史版本能找回不
  ✓ [921] rag_query            | 新人的门禁一直刷不开，入职当天的权限开通时效到底是怎么规定的？
  ✓ [922] rag_query            | 我5月20号入职，有点担心没地方坐，请问部门工位是按什么规则分配的？
  ✓ [923] rag_query            | 差旅超标咋补？
  ✓ [924] direct_answer        | 怎么把钉钉群里的外部联系人权限关掉？
  ✓ [925] rag_query            | 请问研发部所在楼层的公共打印机具体位于哪个位置？
  ✓ [926] multi_intent_split   | 为什么钉钉假期额度显示我还有12天年假却总是提交失败，另外我申请把阿里...
  ✓ [927] rag_query            | 离职单必须本人签吗？
  ✓ [928] rag_query            | 系统显示我的差旅单卡在HRBP节点三天了，这周五前必须定下北京酒店的协...
  ✓ [929] direct_answer        | 测试环境的内网密码是多少？
  ✓ [930] multi_intent_split   | 我上周提交的服务器迁移工单还没反馈能帮我催一下进度吗，对了，我女儿出生...
  ✓ [931] multi_intent_split   | 跨城市调岗的个税申报政策到底有没有统一的操作口径，新入职员工在阿里邮箱...
  ✓ [932] multi_intent_split   | 我下周三要带团队去苏州做团建，请问包车费用和场地租赁费是分开报销还是合...
  ✓ [933] rag_query            | 下周去上海出差的酒店报销上限是多少？
  ✓ [934] direct_answer        | 一楼大厅的访客WiFi密码是多少？
  ✓ [935] multi_intent_split   | 我申请了夸克云盘的共享权限，另外帮我看下李明能不能直接进我们组的阿里邮...
  ✓ [936] escalate             | 新人入职已经三天了还没收到极光人事系统的账号，影响办理入职手续，请尽快...
  ✓ [937] multi_intent_split   | 这月我有三天病假没走审批，另外我想确认一下调休和年假能不能合并休到月底...
  ✓ [938] direct_answer        | 之前存阿里云盘的设计图纸打不开了，技术支持怎么联系？
  ✓ [939] direct_answer        | 钉钉考勤机每天早上的数据同步时间是几点？
  ✓ [940] direct_answer        | 咱公司华东大区办公区的无线网密码是啥呀，我新电脑连不上了。
  ✓ [941] rag_query            | 我上周三忘打卡了，怎么在考勤系统里补卡啊？
  ✓ [942] direct_answer        | 办公网目前无法访问内网的知了知识库平台，提示权限不足，该找哪个团队申请...
  ✓ [943] multi_intent_split   | 我刚刚发现通义千问企业版账号的API额度不够用了能帮我申请扩容吗，顺便...
  ✓ [944] multi_intent_split   | 差旅标准里规定的每日餐补额度是不是根本没考虑一线城市物价，去广州出差期...
  ✓ [945] multi_intent_split   | 钉钉打卡定位老飘咋整顺便帮改下考勤组常跑外勤
  ✓ [946] rag_query            | 钉钉审批后台的数据导出权限申请，现在的审批链路有没有简化过？
  ✓ [947] direct_answer        | 4月15号新员工入职材料清单发钉钉群了吗？
  ✓ [948] multi_intent_split   | 我正在负责星轨二期交付，客户临时要求本周五前输出合规报告，但通义千问的...
  ✓ [949] rag_query            | 新入职员工如何在钉钉上完成电子合同签署？
  ✓ [950] multi_intent_split   | 昨天在阿里云上申请了测试服务器大概什么时候能交付，对了，我上个月垫付的...
  ✓ [951] direct_answer        | 六楼法务专区的那台彩色打印机应该报修哪个IT服务台？
  ✓ [952] rag_query            | 按照最新制度，从杭州出发去西安出差的高铁二等座票价是实报实销还是有15...
  ✓ [953] direct_answer        | 内部培训课咋回放啊错过直播了
  ✓ [954] multi_intent_split   | 我准备申请内部购房补贴请问需要提供哪些购房合同和还款流水，对了，下个月...
  ✓ [955] rag_query            | 请问市场部本月调整后的集中办公区位于大厦的哪一层？
  ✓ [956] escalate             | 工资条显示我本月绩效工资只有基础值的百分之六十，可我整个一季度都在跟进...
  ✓ [957] rag_query            | 12月中旬去成都出差三天，随行带了两位外部专家，请问他们的机票和住宿标...
  ✓ [958] rag_query            | 张伟经理批的10月25日到11月3日的年假，为什么钉钉日历上没显示通过...
  ✓ [959] rag_query            | 外协人员访问内部知识库的权限怎么开？
  ✓ [960] rag_query            | 体检那个单子交上去之后，到底是走系统上传还是直接给人力归档？
  ✓ [961] multi_intent_split   | 出差发票咋上传的顺便查下我这月餐补发没
  ✓ [962] rag_query            | 我今年的年假余额还有多少天没休完？
  ✓ [963] multi_intent_split   | 我提交的5月1日到5月5日年假审批流是不是又漏了主管节点，另外公司配的...
  ✓ [964] rag_query            | 我垫付的六千元客户招待费已经走完了所有线上审批，为什么钉钉审批流走到最...
  ✓ [965] escalate             | 平头哥芯片测试平台的模拟器在加载超大指令集时频繁触发OOM，日志显示内...
  ✓ [966] rag_query            | 如果去海外分公司支援项目，当地伙食和通讯补贴是按阿里集团统一的汇率折算...
  ✓ [967] direct_answer        | 新员工入职培训视频是在钉钉学习专区观看吗？
  ✓ [968] rag_query            | 研发部5月12号座位分配表更新了吗？
  ✓ [969] rag_query            | 差旅报销单被退回后，修改金额超过原申请额30%需要重新走部门VP审批吗...
  ✓ [970] rag_query            | 年底关账在即，我11月底交的那笔去厦门的5000块报销还没到账，请问有...
  ✓ [971] rag_query            | 6月1号公积金基数调整明细什么时候能在钉钉人事后台看到？
  ✓ [972] escalate             | 绩效等级评定后薪资调整未生效，我于四月收到钉钉系统推送的S级考核结果，...
  ✓ [973] rag_query            | 我不太懂社保规则，请问28号入职当月五险一金会同步开始扣缴吗？
  ✓ [974] rag_query            | 法定节假日如果刚好撞上我的年假休息日，这部分天数会重新计算还是顺延？
  ✓ [975] direct_answer        | 请问我的钉钉账户里当前显示的剩余年假天数是多少？
  ✓ [976] rag_query            | 去年结转的年假具体会在几月几号到期？
  ✓ [977] multi_intent_split   | 请问阿里差旅模块对接的签证材料上传通道最近是否停机维护，另外提前感谢行...
  ✓ [978] rag_query            | 刚进来那几天除了填表，账号和系统权限的开通到底要等谁点头才行？
  ✓ [979] rag_query            | 团建能报住宿费吗？
  ✓ [980] rag_query            | 团建费报销单填啥类目财务总打回
  ✓ [981] multi_intent_split   | 我新买的降噪耳机想在出差路上报销但发票开的是个人抬头财务说需要重开公司...
  ✓ [982] escalate             | 因公司组织架构调整，原属于华东大区通义产品线的测试账号权限被全局回收，...
  ✓ [983] escalate             | 申请开通夸克浏览器企业版管理后台的终端策略配置权限，以便统一管控。
  ✓ [984] rag_query            | 我在阿里内网发起的跨BU资源调拨申请，因目标部门负责人休假自动流转至H...
  ✓ [985] multi_intent_split   | 我老婆预产期是11月20号想提前了解一下陪产假的申请流程和薪资计算方式...
  ✓ [986] escalate             | 我部门新入职的算法工程师急需开通阿里云DataWorks项目空间的高级...
  ✓ [987] rag_query            | 公司最近是不是改了加班餐补的规定，谁那儿能查到最新文件？
  ✓ [988] direct_answer        | 请问在钉钉邮箱客户端添加企业邮箱账号时需要填写哪些服务器参数？
  ✓ [989] multi_intent_split   | 工资条咋还不推送的个税抵扣填哪儿啊
  ✓ [990] escalate             | 阿里云RDS数据库主从同步在五月十二日凌晨彻底断裂，业务库出现脏数据，...
  ✓ [991] multi_intent_split   | 灵犀系统的研发代码库访问权限到底什么时候能彻底放开，还有我上周为测试垫...
  ✓ [992] rag_query            | 周末加班的话，钉钉上最晚几点打卡才算有效工时？
  ✓ [993] escalate             | 夸克文档协作平台的外部共享链接功能被全局禁用后，我部门无法向指定合规客...
  ✓ [994] escalate             | 我的阿里云控制台账号因异地登录被安全策略锁定了，线上发布窗口马上关闭，...
  ✓ [995] rag_query            | 餐费报销大概多久能到账？
  ✓ [996] multi_intent_split   | 公司最新的竞业限制协议真的覆盖所有非核心技术岗位吗，新入职的运营同学在...
  ✓ [997] rag_query            | 下周五的培训时间和家里有事冲突了，能申请延期到下个月初吗？
  ✓ [998] direct_answer        | 最近登录云效平台编写接口文档时页面特别卡顿，刷新多次也没反应，请问怎么...
  ✓ [999] escalate             | 新工牌还没下来今天入职没法进楼层急
  ✓ [1000] rag_query            | 刚收到通知，下周三的新人培训大概会持续几天呀？
  ✓ [1001] escalate             | 我是后端开发工程师，申请开通云效代码仓库中支付服务模块的读写权限。
  ✓ [1002] rag_query            | 4月26号周末加班申请，必须在周五下班前提交吗？
  ✓ [1003] rag_query            | 公司统一采购的加密U盘插入内网终端后，通义千问安全插件提示未知设备挂载...
  ✓ [1004] multi_intent_split   | 钉钉审批流里的差旅报销单为啥总卡在待审核状态，另外去杭州办公室出差垫付...
  ✓ [1005] rag_query            | 阿里云ecs实例咋续费便宜点有内部折扣码没
  ✓ [1006] rag_query            | 周末在异地出差有加班补贴吗？标准是多少？
  ✓ [1007] multi_intent_split   | 年假咋请啊钉钉审批老转圈圈进不去
  ✓ [1008] escalate             | 考勤规则明明写着弹性工作制，为什么我四月一日上午十点零五分打卡会被钉钉...
  ✓ [1009] multi_intent_split   | 我刚刚在内部OA提交了转正申请请问审批节点走到哪了，另外想咨询下转正后...
  ✓ [1010] direct_answer        | 二楼大会议室的投屏网络SSID叫什么？
  ✓ [1011] direct_answer        | 四楼开放办公区的备用共享工位目前还剩几个空位？
  ✓ [1012] rag_query            | 项目紧急上线要求连续熬夜，这种特殊时期的调休政策和平时一样吗？
  ✓ [1013] rag_query            | 之前听人说年假跨年会清零，那如果有特殊项目延期导致没休完，还会不会直接...
  ✓ [1014] multi_intent_split   | 麻烦查一下夸克企业版的差旅插件接口是否已完成最新维护，另外非常感谢协助...
  ✓ [1015] escalate             | 我明明在钉钉考勤里提交了外勤打卡，为什么系统判定我三月十五日缺勤，我已...
  ✓ [1016] rag_query            | 位于上海研发中心的测试服务器需要重启，请问运维工单应该提交到阿里云控制...
  ✓ [1017] escalate             | 报销进度查不到了，这笔去青岛的差旅费一共8500块已经拖了快一个月，能...
  ✓ [1018] escalate             | 钉钉排班系统又出错了！我明明申请了四月三日调休并已通过直属领导审批，为...
  ✓ [1019] escalate             | 关于本人刘建国在三月二十八日早退的考勤判定存在争议，当日实际因公参加跨...
  ✓ [1020] direct_answer        | 公司总部目前的详细办公地址及门牌号是多少？
  ✓ [1021] rag_query            | 我5月6号入职，体检报告是必须交纸质版还是直接拍照传钉钉呀？
  ✓ [1022] escalate             | 紧急！四月三十日提交的海外展会物料采购报销单因涉及外币结算被财务系统拦...
  ✓ [1023] rag_query            | 请问去年的年假如果没休完，能自动顺延到明年三月底吗？
  ✓ [1024] rag_query            | 申请去三亚参加培训的酒店，每晚400元的标准够住市中心吗？
  ✓ [1025] escalate             | 我三月提交的跨城交通费报销因超标百分之十五被系统硬拦截，但当时高铁票源...
  ✓ [1026] multi_intent_split   | 我准备把钉钉工作台上的旧版审批模板换成新版但不知道怎么迁移历史数据有操...
  ✓ [1027] multi_intent_split   | 我明天要去杭州总部述职请问需要提前在访客系统里预约吗，另外想查一下我本...
  ✓ [1028] rag_query            | 钉钉会议录屏咋找回并开通剪辑？
  ✓ [1029] rag_query            | 年假按啥折算？
  ✓ [1030] rag_query            | 5月30号晚上项目攻坚的餐补，是走钉钉报销还是随下月工资发放？
  ✓ [1031] rag_query            | 阿里云控制台老报403权限没开够吗
  ✓ [1032] multi_intent_split   | 供应链系统的供应商合同阅读权限难道连项目经理都不配拥有，那我前期垫付的...
  ✓ [1033] rag_query            | 出差订酒店有协议价渠道没自己订垫钱麻烦
  ✓ [1034] rag_query            | 灵犀OA里的报销单如果金额是0元，系统提示金额不能为空导致无法提交测试...
  ✓ [1035] multi_intent_split   | 我新入职的实习生工牌还没办好能走加急通道吗，顺便问下实习生转正后第一次...
  ✓ [1036] multi_intent_split   | 我老婆想转岗到我们公司的客服部门请问内部推荐有奖励政策吗，顺便问下我今...
  ✓ [1037] rag_query            | 如果早上迟到二十分钟，考勤系统会自动扣当月全勤奖吗？
  ✓ [1038] multi_intent_split   | 张伟总让我下周去北京参加行业峰会，请问异地差旅的每日餐饮补贴是实报实销...
  ✓ [1039] multi_intent_split   | 年度体检预约链接找不着另外商保理赔咋走流程
  ✓ [1040] escalate             | 阿里云ECS实例prod-db-04在四月二日凌晨出现读写延迟飙升，运...
  ✓ [1041] rag_query            | 紧急！明天一早要飞广州见客户，现在才在系统里提差旅申请，审批流还能加急...
  ✓ [1042] direct_answer        | 下周三的年假申请卡在主管节点三天了，钉钉审批流状态能手动刷新吗？
  ✓ [1043] multi_intent_split   | 想请教下应届生4月28日入职的完整报到流程是怎样的，顺便提前感谢HR帮...
  ✓ [1044] escalate             | 项目预算审批卡在哪儿了领导一直不点
  ✓ [1045] direct_answer        | 投影仪连不上转接头没带咋无线投屏
  ✓ [1046] direct_answer        | 五楼东南角的黑白打印机支持A3纸打印吗？
  ✓ [1047] multi_intent_split   | 灵犀oa审批流全卡死影响发工资了顺便查查我那条报销单到没到财务
  ✓ [1048] rag_query            | 我上个月20号在财务系统上传了去重庆出差的发票和行程单，现在状态一直是...
  ✓ [1049] rag_query            | 我想请4月30号到5月2号的事假，在系统里提交后大概多久能走完审批呀？
  ✓ [1050] rag_query            | 请问今年剩余的年假天数还能延续到明年使用吗？
  ✓ [1051] direct_answer        | 三楼财务室旁边的彩色打印机具体在哪个房间号？
  ✓ [1052] rag_query            | 试用期提前转正后，我的年假额度是按新职级重新算还是维持原样？
  ✓ [1053] multi_intent_split   | 公司最新的异地调动补贴政策文件到底更新到哪个版本了，新来的产品经理在杭...
  ✓ [1054] rag_query            | 按照通义千问助手里的指引我重新提交了9月份的餐补报销，但系统提示还在原...
  ✓ [1055] escalate             | 账号异地登录提示了是不是被盗赶紧锁一下
  ✓ [1056] rag_query            | 居家办公期间如何手动切换星辰系统VPN的负载均衡节点以解决网络不稳定问...
  ✓ [1057] escalate             | 在外地出差时星辰系统VPN拨号一直超时，严重影响客户方案提交，请紧急协...
  ✓ [1058] rag_query            | 云帆大促活动结束后，服务器资源释放策略是什么？是按实例自动回收还是需手...
  ✓ [1059] escalate             | 线上交易链路出现报错，急需申请云效平台核心系统的生产环境发布权限进行热...
  ✓ [1060] rag_query            | 中途离职又回来的老员工，年假累计工龄是按第一次入职时间算还是重新起算？
  ✓ [1061] rag_query            | 马上要去呼和浩特出差一周，请问异地餐饮补贴标准现在还是每天100元吗？...
  ✓ [1062] rag_query            | 6月15号起请三天病假，钉钉请假流程里必须上传医院诊断书吗？
  ✓ [1063] escalate             | 我的星辰系统VPN一直提示连接失败，能帮忙远程排查一下网络配置吗？
  ✓ [1064] rag_query            | 去西藏出差的高原补贴每天是定额150元还是按海拔阶梯计算？
  ✓ [1065] rag_query            | 通义千问企业版咋开通权限找不到入口
  ✓ [1066] multi_intent_split   | 项目组原定由张伟审批采购，但他去封闭开发了，节点能直接转交李娜吗？另外...
  ✓ [1067] rag_query            | 打车票能报销吗？还有出差时的交通补助是每天固定八十还是实报实销？
  ✓ [1068] rag_query            | 早班弹性考勤的最晚打卡截止时间是几点？
  ✓ [1069] multi_intent_split   | 麻烦确认下钉钉审批流里的境外差旅意外险购买入口是否正常，另外请行政部帮...
  ✓ [1070] rag_query            | 4月20号的调休申请人事审核通过后，钉钉会自动推送消息提醒吗？
  ✓ [1071] rag_query            | 我替客户垫付的八千块会议费发票丢了，财务那边说找王总监特批，这个流程该...
  ✓ [1072] rag_query            | 10月15号提交的差旅报销单，财务规定最迟多久能打到工资卡里？
  ✓ [1073] multi_intent_split   | 集团最新的弹性考勤管理办法真的允许研发岗每周居家办公两天吗，顺便问下下...
  ✓ [1074] rag_query            | 我是十月份才入职的，今年的年假是按全年额度发还是按在职月份折算？
  ✓ [1075] multi_intent_split   | 下个月要去杭州出差订高铁票，请问审批单怎么走，另外超过五百的住宿发票怎...
  ✓ [1076] escalate             | 作为部门数字化接口人，我需要申请万象CRM管理后台的账号配置权限。
  ✓ [1077] rag_query            | 我计划11月5号到8号去深圳参加行业展会，按照现在的差旅政策，我需要先...
  ✓ [1078] rag_query            | 在家干活的时间怎么算进考勤里，能不能跟平时的加班一样攒起来换休？
  ✓ [1079] multi_intent_split   | 我刚刚收到一封钓鱼邮件测试不确定有没有误点链接需要找安全团队报备吗，对...
  ✓ [1080] rag_query            | 12月5号提交的跨城交通费报销，因为缺少住宿发票被财务驳回了，重新提交...
  ✓ [1081] rag_query            | 财务系统的外网访问白名单申请，审批流程里是否需要安全合规团队介入审核？
  ✓ [1082] escalate             | 内网咋断网了急用传文件赶紧帮忙查查
  ✓ [1083] rag_query            | 我想开通内部数据库的读写权限，这个审批节点需要经过哪些主管？
  ✓ [1084] direct_answer        | 阿里云创新中心这边的食堂午餐几点开始供餐？
  ✓ [1085] multi_intent_split   | 张伟总让我明天提交Q3的营销方案，但我现在钉钉账号还没开通文档协作权限...
  ✓ [1086] rag_query            | 下周一全天在外地驻场，钉钉外勤打卡定位范围能临时调大吗？
  Round 4 结束 | 已有 1086 条

============================================================
Round 5/6 | 并行生成 11 组查询...
  Prompt 6: 25 条
  Prompt 8: 25 条
  Prompt 5: 25 条
  Prompt 2: 25 条
  Prompt 7: 25 条
  Prompt 3: 25 条
  Prompt 1: 25 条
  Prompt 4: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  Prompt 9: 25 条
  本轮共 275 条待标注，还需 314 条
  ✓ [1087] rag_query            | 年假折算规则？
  ✓ [1088] direct_answer        | 一楼东侧备用打印机支持直接打印吗？
  ✓ [1089] rag_query            | 钉钉企业邮箱在移动端一直提示同步失败，需要怎么重新绑定。
  ✓ [1090] direct_answer        | 报销入口在哪？
  ✓ [1091] rag_query            | 工位申请表提交到阿里云盘的哪个文件夹？
  ✓ [1092] multi_intent_split   | 知识库编辑权限给开一下，顺便问下旧版工作台入口搁哪儿。
  ✓ [1093] escalate             | 需申请星辰系统历史订单数据的只读查看权限用于账目核对。
  ✓ [1094] multi_intent_split   | 帮我查一下上个月餐饮报销的审批进度，另外确认发票抬头应该填公司统一社会...
  ✓ [1095] multi_intent_split   | 今年的员工体检安排在10月20号，那天如果请假去医院会不会影响全勤奖，...
  ✓ [1096] rag_query            | 根据最新的《员工差旅管理办法》，我去新疆出差连续5天，每天的伙食补贴和...
  ✓ [1097] rag_query            | 5月15号要去客户公司拜访三个小时，外勤打卡是不是得提前在通义助手里报...
  ✓ [1098] multi_intent_split   | 关于外部讲师授课的合规审查流程怎么走？另外新入职员工在通义学习平台上的...
  ✓ [1099] rag_query            | 社保基数调整通知发钉钉哪儿了，没找着。
  ✓ [1100] escalate             | 会议室空调坏了下午要用，赶紧派人修下。
  ✓ [1101] direct_answer        | 新来的设计师工位安排在C座几层？
  ✓ [1102] rag_query            | 我带着家属一起去厦门参加行业峰会，公司制度里有没有明确说明这种情况下员...
  ✓ [1103] multi_intent_split   | 我打算休12月1号到5号的产假，这期间公司的测试手机和加密硬盘是交给陈...
  ✓ [1104] rag_query            | 钉钉提示说跨月报销已经超过30天限制，请问这种情况下走特殊审批继续走报...
  ✓ [1105] direct_answer        | 行政通知说下个月起取消免费班车，改为发放交通补贴，但补贴标准是按通勤距...
  ✓ [1106] rag_query            | 工牌挂绳丢了，今天能在夸克行政里补领吗，大概多久能拿到？
  ✓ [1107] rag_query            | 关于跨年度未休年假的补偿机制，能否查阅一下最新员工手册条款？
  ✓ [1108] rag_query            | 5月8号入职的管培生是随机分座位还是按业务线集中坐呀，能自己挑靠窗的吗...
  ✓ [1109] multi_intent_split   | 能不能帮我开通一下星辰财务系统的打款权限？还有上周垫付的3200元培训...
  ✓ [1110] direct_answer        | 早上标准打卡截止时间是几点？
  ✓ [1111] rag_query            | 宜搭权限咋开？
  ✓ [1112] escalate             | 阿里云控制台在下午操作频繁卡顿，请问能否优化一下访问线路。
  ✓ [1113] escalate             | 内部代码仓库迁移至阿里云新节点后，我的本地开发环境拉取分支持续报网络超...
  ✓ [1114] rag_query            | 信息安全培训定在5月15日上午九点吗，线上学习大概需要刷满四小时还是？
  ✓ [1115] escalate             | 请协助开通通义千问模型评测后台的日志导出权限。
